;; JNF 2021-09-23 - Used to define the indexes for the logos referenced in descr_sm_factions
;; trying to have multiple logos on a single page caused all logos to revert to the one in the
;; top left after you moved the camera for the first time. I don't understand it either.
;; so anyway, one logo per page please

icon	ui/faction_icons/romans_julii.tga         ;;0
icon	ui/faction_icons/sparta.tga               ;;1
icon	ui/faction_icons/galatians.tga            ;;2
icon	ui/faction_icons/pergamon.tga             ;;3
icon	ui/faction_icons/macedon.tga              ;;4
icon	ui/faction_icons/egypt.tga                ;;5
icon	ui/faction_icons/seleucid.tga             ;;6
icon	ui/faction_icons/carthage.tga             ;;7
icon	ui/faction_icons/parthia.tga              ;;8
icon	ui/faction_icons/pontus.tga               ;;9
icon	ui/faction_icons/gauls.tga                ;;10
icon	ui/faction_icons/germans.tga              ;;11
icon	ui/faction_icons/britons.tga              ;;12
icon	ui/faction_icons/armenia.tga              ;;13
icon	ui/faction_icons/dacia.tga                ;;14
icon	ui/faction_icons/greek_cities.tga         ;;15
icon	ui/faction_icons/numidia.tga              ;;16
icon	ui/faction_icons/scythia.tga              ;;17
icon	ui/faction_icons/spain.tga                ;;18
icon	ui/faction_icons/thrace.tga               ;;19
icon	ui/faction_icons/slave.tga                ;;20
icon	ui/faction_icons/slave_barbarian.tga      ;;21
icon	ui/faction_icons/slave_carthaginian.tga   ;;22
icon	ui/faction_icons/slave_greek.tga          ;;23
icon	ui/faction_icons/slave_egyptian.tga       ;;24
icon	ui/faction_icons/slave_eastern.tga        ;;25
icon	ui/faction_icons/slave_nomad.tga          ;;26
icon	ui/faction_icons/bosporan.tga             ;;27
icon	ui/faction_icons/nubia.tga                ;;28
